subject,trials_per_class,mode,mean_accuracy,std_accuracy
1,5,csp_lda,0.5986111111111111,0.0381375839381832
1,10,csp_lda,0.7069444444444444,0.054926999814681
1,20,csp_lda,0.8027777777777778,0.0178945815648959
1,50,csp_lda,0.8722222222222221,0.0306186217847897
2,5,csp_lda,0.5111111111111111,0.0369036951544067
2,10,csp_lda,0.525,0.0279853356661248
2,20,csp_lda,0.5305555555555556,0.015590239111558
2,50,csp_lda,0.5222222222222223,0.0212459146399699
3,5,csp_lda,0.6986111111111111,0.0769048233328173
3,10,csp_lda,0.8166666666666667,0.0369036951544067
3,20,csp_lda,0.8597222222222222,0.0699150719369623
3,50,csp_lda,0.8805555555555555,0.0323941771935849
4,5,csp_lda,0.5611111111111111,0.0732828108792939
4,10,csp_lda,0.5652777777777778,0.040397332145136
4,20,csp_lda,0.6250000000000001,0.0498841249890777
4,50,csp_lda,0.6458333333333333,0.0504608392349582
5,5,csp_lda,0.5097222222222222,0.0347499888977688
5,10,csp_lda,0.5027777777777778,0.0034020690871988
5,20,csp_lda,0.5097222222222222,0.0112833866731054
5,50,csp_lda,0.5430555555555555,0.0459384316903923
6,5,csp_lda,0.5361111111111111,0.0962651302842414
6,10,csp_lda,0.6041666666666667,0.0740161810804123
6,20,csp_lda,0.601388888888889,0.0573663234112871
6,50,csp_lda,0.6458333333333333,0.0684653196881457
7,5,csp_lda,0.5458333333333334,0.0598351645237167
7,10,csp_lda,0.5402777777777779,0.0352460487234708
7,20,csp_lda,0.6513888888888889,0.0897312516956283
7,50,csp_lda,0.6652777777777779,0.0826826448118734
8,5,csp_lda,0.7236111111111111,0.1380111151365518
8,10,csp_lda,0.8125,0.0605402631047315
8,20,csp_lda,0.8861111111111111,0.0459804037701301
8,50,csp_lda,0.9555555555555556,0.0094199027543406
9,5,csp_lda,0.6083333333333334,0.1554439083463077
9,10,csp_lda,0.7819444444444444,0.060316807640579
9,20,csp_lda,0.7486111111111111,0.1105367097281752
9,50,csp_lda,0.8347222222222221,0.0212459146399699
1,5,ssl_frozen_linear_probe,0.5347222222222221,0.006211299937499393
1,10,ssl_frozen_linear_probe,0.5277777777777779,0.015214515486254642
1,20,ssl_frozen_linear_probe,0.5791666666666667,0.04087205269322821
1,50,ssl_frozen_linear_probe,0.6041666666666667,0.02635231383473649
2,5,ssl_frozen_linear_probe,0.5013888888888889,0.013465777381712021
2,10,ssl_frozen_linear_probe,0.5055555555555556,0.010206207261596573
2,20,ssl_frozen_linear_probe,0.5152777777777777,0.01346577738171203
2,50,ssl_frozen_linear_probe,0.5194444444444445,0.026131788503092744
3,5,ssl_frozen_linear_probe,0.49444444444444446,0.0408248290463863
3,10,ssl_frozen_linear_probe,0.5472222222222223,0.01883980550868128
3,20,ssl_frozen_linear_probe,0.6444444444444445,0.07262175812445207
3,50,ssl_frozen_linear_probe,0.7291666666666667,0.04543174231610034
4,5,ssl_frozen_linear_probe,0.5291666666666667,0.040349552906483205
4,10,ssl_frozen_linear_probe,0.5083333333333334,0.02461117381481855
4,20,ssl_frozen_linear_probe,0.5472222222222222,0.02031769283101084
4,50,ssl_frozen_linear_probe,0.5611111111111111,0.0188398055086813
5,5,ssl_frozen_linear_probe,0.5,0.021960261528947072
5,10,ssl_frozen_linear_probe,0.5041666666666667,0.012880025688188476
5,20,ssl_frozen_linear_probe,0.5152777777777777,0.002777777777777812
5,50,ssl_frozen_linear_probe,0.5125,0.009212846639876114
6,5,ssl_frozen_linear_probe,0.4930555555555555,0.04001350080802205
6,10,ssl_frozen_linear_probe,0.5375,0.06343437359260685
6,20,ssl_frozen_linear_probe,0.48194444444444445,0.014299486306926379
6,50,ssl_frozen_linear_probe,0.5874999999999999,0.02429563289518877
7,5,ssl_frozen_linear_probe,0.5041666666666667,0.018941919023591474
7,10,ssl_frozen_linear_probe,0.5041666666666667,0.010393492741038709
7,20,ssl_frozen_linear_probe,0.5069444444444444,0.01162027814630661
7,50,ssl_frozen_linear_probe,0.5083333333333334,0.005196746370519345
8,5,ssl_frozen_linear_probe,0.5722222222222222,0.11839004900625603
8,10,ssl_frozen_linear_probe,0.6694444444444445,0.1349868534979757
8,20,ssl_frozen_linear_probe,0.7375,0.053323205056812394
8,50,ssl_frozen_linear_probe,0.8666666666666666,0.01111111111111111
9,5,ssl_frozen_linear_probe,0.7208333333333333,0.14812355119883228
9,10,ssl_frozen_linear_probe,0.8486111111111111,0.030869598292906777
9,20,ssl_frozen_linear_probe,0.7708333333333333,0.09652527974385584
9,50,ssl_frozen_linear_probe,0.85,0.03530073618649677
1,5,ssl_full_finetune,0.7194444444444446,0.033042714592695345
1,10,ssl_full_finetune,0.7138888888888888,0.06852164657524451
1,20,ssl_full_finetune,0.7777777777777778,0.031671539586087157
1,50,ssl_full_finetune,0.8013888888888889,0.04448782605013046
2,5,ssl_full_finetune,0.5027777777777779,0.012880025688188478
2,10,ssl_full_finetune,0.5097222222222222,0.01894191902359146
2,20,ssl_full_finetune,0.55,0.0253828706701348
2,50,ssl_full_finetune,0.5541666666666667,0.0160775512538753
3,5,ssl_full_finetune,0.7930555555555555,0.09258796284721646
3,10,ssl_full_finetune,0.8236111111111111,0.027638539919628363
3,20,ssl_full_finetune,0.9041666666666666,0.014829275350043497
3,50,ssl_full_finetune,0.8694444444444445,0.0831479419283098
4,5,ssl_full_finetune,0.5791666666666667,0.03742275995918744
4,10,ssl_full_finetune,0.6180555555555556,0.027428357858515953
4,20,ssl_full_finetune,0.6472222222222223,0.025382870670134807
