subject,trials_per_class,mode,mean_accuracy,std_accuracy
5,20,mu_beta_ssl_full_finetune,0.49722222222222223,0.013608276348795427
5,50,mu_beta_ssl_full_finetune,0.5041666666666667,0.008333333333333349
6,5,mu_beta_ssl_full_finetune,0.5152777777777777,0.01666666666666666
6,10,mu_beta_ssl_full_finetune,0.5097222222222222,0.013608276348795427
6,20,mu_beta_ssl_full_finetune,0.5041666666666667,0.005555555555555536
6,50,mu_beta_ssl_full_finetune,0.49722222222222223,0.009419902754340638
7,5,mu_beta_ssl_full_finetune,0.5041666666666667,0.005555555555555536
7,10,mu_beta_ssl_full_finetune,0.5041666666666667,0.005555555555555536
7,20,mu_beta_ssl_full_finetune,0.5027777777777778,0.003402069087198847
7,50,mu_beta_ssl_full_finetune,0.5083333333333334,0.01346577738171202
8,5,mu_beta_ssl_full_finetune,0.5319444444444444,0.043832593994609745
8,10,mu_beta_ssl_full_finetune,0.5027777777777778,0.005555555555555536
8,20,mu_beta_ssl_full_finetune,0.5055555555555555,0.011111111111111117
8,50,mu_beta_ssl_full_finetune,0.538888888888889,0.07777777777777777
9,5,mu_beta_ssl_full_finetune,0.5222222222222224,0.026859832785852376
9,10,mu_beta_ssl_full_finetune,0.5125,0.024999999999999998
9,20,mu_beta_ssl_full_finetune,0.548611111111111,0.09722222222222224
9,50,mu_beta_ssl_full_finetune,0.5583333333333333,0.08386405077472518
