subject,accuracy
1,0.8888888888888888
2,0.6180555555555556
3,0.9236111111111112
4,0.7013888888888888
5,0.5555555555555556
6,0.7291666666666666
7,0.7638888888888888
8,0.9513888888888888
9,0.8819444444444444
