subject,trials_per_class,mode,mean_accuracy,std_accuracy
5,10,mu_beta_ssl_full_finetune,0.5194444444444445,0.04221856709325184
5,20,mu_beta_ssl_full_finetune,0.5430555555555555,0.01607755125387534
5,50,mu_beta_ssl_full_finetune,0.5680555555555555,0.04244640774982255
6,5,mu_beta_ssl_full_finetune,0.5583333333333333,0.08635717531505453
6,10,mu_beta_ssl_full_finetune,0.6,0.02507704178509416
6,20,mu_beta_ssl_full_finetune,0.6,0.0429434023159453
6,50,mu_beta_ssl_full_finetune,0.6694444444444445,0.01993430568667685
7,5,mu_beta_ssl_full_finetune,0.5472222222222222,0.03762838106706685
7,10,mu_beta_ssl_full_finetune,0.5416666666666667,0.03513641844631531
7,20,mu_beta_ssl_full_finetune,0.5986111111111111,0.03497132864448381
7,50,mu_beta_ssl_full_finetune,0.5930555555555556,0.036377224593635536
8,5,mu_beta_ssl_full_finetune,0.8527777777777779,0.034971328644483796
8,10,mu_beta_ssl_full_finetune,0.9291666666666666,0.022566773346211003
8,20,mu_beta_ssl_full_finetune,0.9361111111111111,0.01723565784165395
8,50,mu_beta_ssl_full_finetune,0.9708333333333332,0.010206207261596573
9,5,mu_beta_ssl_full_finetune,0.7069444444444445,0.10095989914103468
9,10,mu_beta_ssl_full_finetune,0.8680555555555556,0.07081971546656647
9,20,mu_beta_ssl_full_finetune,0.7875,0.07512849075721398
9,50,mu_beta_ssl_full_finetune,0.8166666666666667,0.027985335666124836
